,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
164,"Losses (with Young Thug)","Polo G",910896,https://open.spotify.com/track/0f6U1lMWlbjnyYBctfjji1
165,"Adore You","Harry Styles",909208,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
166,"Bohemian Rhapsody - Remastered 2011",Queen,907562,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
167,"Take Me To Church",Hozier,904757,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
168,"Martin & Gina","Polo G",897144,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
169,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",895280,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
170,Roadrunner,Migos,894969,https://open.spotify.com/track/5DxA8tzKieKkOrvKnCrADi
171,Perfect,"Ed Sheeran",889809,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
172,Whoopty,CJ,889766,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
173,"Our Song",Anne-Marie,880210,https://open.spotify.com/track/5zqObw7wjBgL9TDiAymxPn
174,"Lucid Dreams","Juice WRLD",877076,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
175,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",874855,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
176,"The Nights",Avicii,872087,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
177,"Dreams - 2004 Remaster","Fleetwood Mac",871941,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
178,Riptide,"Vance Joy",869763,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
179,"Sweet Dreams","Alan Walker",866739,https://open.spotify.com/track/4uDhts78RdwIDjEqPrYVKp
180,"Wake Me Up",Avicii,865082,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
181,"Ride It",Regard,861153,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
182,"Tell Em",Cochise,860228,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
183,"My Head & My Heart","Ava Max",859392,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
184,"Ella No Es Tuya - Remix","Rochy RD",853471,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
185,"Counting Stars",OneRepublic,852521,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
186,"What You Know Bout Love","Pop Smoke",852366,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
187,"Prisoner (feat. Dua Lipa)","Miley Cyrus",851304,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
188,"Smells Like Teen Spirit",Nirvana,851213,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
189,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",849228,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
190,"Tipo Gin - Ao Vivo","MC Kevin o Chris",846943,https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S
191,"Savage Love (Laxed - Siren Beat)","Jawsh 685",845561,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
192,"death bed (coffee for your head)",Powfu,843375,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
193,"Baby Me Atende","Matheus Fernandes",842001,https://open.spotify.com/track/5R9KPXQVeyqsHZoPLMgfNy
194,"Say You Won't Let Go","James Arthur",839945,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
195,"GIRL LIKE ME","Black Eyed Peas",839940,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
196,"MILLE (feat. Orietta Berti)",Fedez,837694,https://open.spotify.com/track/6qdMhG7pRFi0csRlFGvLE4
197,"Every Breath You Take","The Police",835370,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
198,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",834454,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
199,"TE MUDASTE","Bad Bunny",829604,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
200,"SUN GOES DOWN","Lil Nas X",826697,https://open.spotify.com/track/34eF4BoV8FPk0uhAAoqU7h
